City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
273,Nowy Dwor Gdanski,PL,54.2131,19.1177,8.01,78,20,3.44,few clouds
274,College,US,64.8569,-147.8028,6.8,85,75,1.86,broken clouds
275,Snezhnogorsk,RU,69.1933,33.2531,28.4,93,75,6.71,snow
276,Mackenzie,CA,55.2999,-123.1698,35.6,87,75,6.91,broken clouds
277,Cairns,AU,-16.9167,145.7667,78.8,83,100,9.22,overcast clouds
278,Mvuma,ZW,-19.2792,30.5283,65.97,95,100,6.11,moderate rain
279,Hambantota,LK,6.1241,81.1185,73.4,100,92,4.61,overcast clouds
280,Zvishavane,ZW,-20.3267,30.0665,69.37,95,100,4.21,light rain
281,Ous,RU,60.9058,61.5186,-14.85,88,63,4.52,broken clouds
282,Brokopondo,SR,4.75,-55.1667,77.43,84,100,12.57,overcast clouds
283,Vaijapur,IN,19.9167,74.7333,74.25,55,61,3.4,broken clouds
284,Porohy,UA,48.6876,24.2632,14.94,93,100,3.67,overcast clouds
285,Katangli,RU,51.7102,143.2326,-20.67,87,19,6.96,few clouds
286,Shizunai,JP,42.3339,142.3669,23.65,91,95,7.09,light snow
287,Olsztyn,PL,53.7799,20.4942,-4.0,84,90,2.3,overcast clouds
288,Sechura,PE,-5.5569,-80.8222,79.99,58,99,17.58,overcast clouds
289,Ikwiriri,TZ,-7.9562,38.9716,74.34,97,91,2.26,overcast clouds
290,Winnipeg,CA,49.8844,-97.147,12.2,79,100,4.61,overcast clouds
291,Beyneu,KZ,45.3167,55.2,33.26,93,41,14.12,scattered clouds
292,Port Blair,IN,11.6667,92.75,79.39,79,28,16.62,scattered clouds
293,Rio Gallegos,AR,-51.6226,-69.2181,71.6,49,20,16.11,few clouds
294,Deputatskiy,RU,69.3,139.9,-34.98,85,98,1.77,overcast clouds
295,Tiksi,RU,71.6872,128.8694,-20.02,88,100,7.65,overcast clouds
296,Amahai,ID,-3.3333,128.9167,82.99,88,100,3.02,heavy intensity rain
297,Buenos Aires,AR,-34.6132,-58.3772,77.0,31,0,9.22,clear sky
298,Along,IN,28.1667,94.7667,51.96,70,0,1.9,clear sky
299,Katsuura,JP,35.1333,140.3,39.0,70,95,7.0,overcast clouds
300,Dalian,CN,38.9122,121.6022,24.8,39,0,4.47,clear sky
301,Belmonte,BR,-15.8631,-38.8828,78.8,73,20,6.91,few clouds
302,Kidal,ML,18.4411,1.4078,68.52,22,84,13.29,broken clouds
303,Santa Ana,US,33.7456,-117.8678,89.6,13,1,8.05,clear sky
304,Danielskuil,ZA,-28.1887,23.5395,69.58,37,0,1.61,clear sky
305,Tautira,PF,-17.7333,-149.15,86.0,70,40,13.8,scattered clouds
306,Ajdabiya,LY,30.7554,20.2263,56.79,62,90,1.01,overcast clouds
307,Uaua,BR,-9.8414,-39.4817,82.0,47,76,16.67,broken clouds
308,Sao Filipe,CV,14.8961,-24.4956,72.9,71,0,7.47,clear sky
309,Kincardine,GB,56.0667,-3.7167,42.8,93,90,13.8,light rain
310,Mpulungu,ZM,-8.7623,31.1141,72.9,63,100,1.45,overcast clouds
311,Trenggalek,ID,-8.05,111.7167,75.13,83,100,3.04,overcast clouds
312,Mapiripan,CO,2.8892,-72.1256,84.11,62,79,5.55,broken clouds
313,Fortuna,US,40.5982,-124.1573,61.0,72,1,13.8,clear sky
314,Astana,KZ,51.1801,71.446,12.2,85,0,13.42,clear sky
315,Teya,RU,60.3778,92.6267,-4.09,89,100,3.74,overcast clouds
316,Diamantino,BR,-14.4086,-56.4461,74.75,88,80,3.8,broken clouds
317,Ulcinj,ME,41.9294,19.2244,33.8,86,90,4.61,overcast clouds
318,Balakirevo,RU,56.5059,38.8432,-10.5,91,11,3.24,few clouds
319,Yerbogachen,RU,61.2767,108.0108,-39.69,79,100,4.9,overcast clouds
320,Hami,CN,42.8,93.45,14.32,75,0,3.47,clear sky
321,Rio Grande City,US,26.3798,-98.8203,73.0,54,32,1.01,scattered clouds
322,Luanda,AO,-8.8368,13.2343,77.0,83,20,9.22,few clouds
323,Anshun,CN,26.25,105.9333,30.87,94,19,1.12,few clouds
324,Sept-Iles,CA,50.2001,-66.3821,32.0,100,100,8.05,light snow
325,Sioux Lookout,CA,50.1001,-91.917,15.8,86,90,4.61,light snow
326,Santa Rosalia,MX,27.3167,-112.2833,72.39,25,0,6.38,clear sky
327,Sidrolandia,BR,-20.9319,-54.9614,71.6,88,40,16.11,light rain
328,Aitape,PG,-3.1374,142.3475,81.19,81,76,7.38,broken clouds
329,North Bend,US,43.4065,-124.2243,55.99,87,1,18.41,clear sky
330,Udachnyy,RU,66.4167,112.4,-35.07,81,100,2.19,overcast clouds
331,Villarrica,PY,-25.75,-56.4333,72.43,95,100,3.51,light rain
332,Umm Kaddadah,SD,13.6017,26.6876,66.13,23,38,15.1,scattered clouds
333,Camana,PE,-16.6228,-72.7111,73.38,67,8,6.4,clear sky
334,Kemijarvi,FI,66.7131,27.4306,12.45,95,98,4.99,overcast clouds
335,Dalbandin,PK,28.8947,64.4101,51.66,33,0,1.45,clear sky
336,Anaconda,US,46.1285,-112.9423,37.4,60,90,12.66,overcast clouds
337,Banepa,NP,27.6298,85.5214,46.4,93,20,2.3,mist
338,Bartica,GY,6.4,-58.6167,80.6,78,20,11.5,few clouds
339,Borgo San Lorenzo,IT,43.9553,11.3835,44.6,53,20,13.8,few clouds
340,Bambanglipuro,ID,-7.95,110.2833,75.63,82,98,3.44,overcast clouds
341,Lubbock,US,33.6001,-101.8338,51.01,34,75,4.65,broken clouds
342,Roma,US,43.2128,-75.4557,34.0,86,90,5.75,light snow
343,Vila Franca Do Campo,PT,37.7167,-25.4333,61.0,88,40,18.41,scattered clouds
344,Cidreira,BR,-30.1811,-50.2056,75.36,90,100,12.3,moderate rain
345,Pochutla,MX,15.7432,-96.4661,84.0,69,75,8.05,broken clouds
346,Moquegua,PE,-17.1956,-70.9353,67.33,62,94,9.98,light rain
347,Yamada,JP,39.4667,141.95,23.47,88,0,4.79,clear sky
348,Isla Mujeres,MX,21.2311,-86.731,68.0,88,90,5.75,light rain
349,Bell Ville,AR,-32.6259,-62.6887,85.24,16,0,9.95,clear sky
350,Kalevala,RU,65.2,31.1667,12.02,96,50,6.35,scattered clouds
351,Trunovskoye,RU,45.4878,42.1358,24.8,93,90,13.42,snow
