City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
97,Longyearbyen,SJ,2021-01-17 01:31:31,78.2186,15.6401,21.2,79,75,10.36
98,Alta Floresta,BR,2021-01-17 01:31:31,-9.8756,-56.0861,75.2,100,90,5.75
99,East London,ZA,2021-01-17 01:31:31,-33.0153,27.9116,69.22,69,20,18.81
100,Cefalu,IT,2021-01-17 01:31:31,38.0386,14.0229,46.99,61,85,1.99
101,Maldonado,UY,2021-01-17 01:31:31,-34.6667,-54.9167,72.0,94,75,4.61
102,Necochea,AR,2021-01-17 01:31:31,-38.5473,-58.7368,62.01,81,89,13.38
103,Bairiki,KI,2021-01-17 01:31:31,1.3292,172.9752,86.0,70,40,17.27
104,Gimry,RU,2021-01-17 01:31:31,42.7597,46.8396,37.4,100,90,2.24
105,Sola,VU,2021-01-17 01:31:32,-13.8833,167.55,89.6,74,75,6.91
106,Jalu,LY,2021-01-17 01:31:32,29.0331,21.5482,49.75,64,0,10.65
107,Gizo,SB,2021-01-17 01:31:32,-8.103,156.8419,85.82,68,64,8.46
108,Naze,JP,2021-01-17 01:31:32,28.3667,129.4833,59.0,58,75,18.41
109,Hualmay,PE,2021-01-17 01:31:05,-11.0964,-77.6139,70.72,83,100,5.12
110,Tual,ID,2021-01-17 01:31:32,-5.6667,132.75,79.18,92,100,23.24
111,Isangel,VU,2021-01-17 01:31:32,-19.55,169.2667,87.8,84,75,5.75
112,Upernavik,GL,2021-01-17 01:31:32,72.7868,-56.1549,9.77,82,0,7.0
113,Bowen,AU,2021-01-17 01:31:32,-20.0167,148.2333,84.2,74,40,13.8
114,Yellowknife,CA,2021-01-17 01:30:40,62.456,-114.3525,-5.01,84,90,8.05
115,Saint Anthony,US,2021-01-17 01:31:32,45.0205,-93.218,27.0,80,90,10.36
116,Aksehir,TR,2021-01-17 01:31:32,38.3575,31.4164,36.84,88,73,10.11
117,Ilhabela,BR,2021-01-17 01:31:32,-23.7781,-45.3581,77.63,82,100,4.0
118,Qarchak,IR,2021-01-17 01:31:32,35.4394,51.5689,46.4,34,0,4.61
119,The Valley,AI,2021-01-17 01:31:33,18.217,-63.0578,78.01,78,20,5.75
120,Tynda,RU,2021-01-17 01:31:33,55.1667,124.7167,-18.56,84,100,6.49
121,Vila Velha,BR,2021-01-17 01:31:33,-20.3297,-40.2925,77.0,83,0,4.61
122,Lorengau,PG,2021-01-17 01:31:33,-2.0226,147.2712,84.18,79,94,12.84
123,Mangrol,IN,2021-01-17 01:31:33,21.1167,70.1167,64.71,43,0,9.01
124,Bonthe,SL,2021-01-17 01:31:33,7.5264,-12.505,77.14,87,98,4.23
125,Hernani,ES,2021-01-17 01:31:33,43.2662,-1.9762,50.0,57,90,5.75
126,New Norfolk,AU,2021-01-17 01:31:33,-42.7826,147.0587,62.01,62,98,8.01
127,Cap Malheureux,MU,2021-01-17 01:31:33,-19.9842,57.6142,80.01,82,93,5.01
128,Chokurdakh,RU,2021-01-17 01:31:33,70.6333,147.9167,-17.81,88,100,12.28
129,Gigmoto,PH,2021-01-17 01:31:33,13.7796,124.39,80.98,82,71,12.06
130,Poronaysk,RU,2021-01-17 01:31:35,49.2167,143.1167,-3.24,84,0,6.62
131,Khorixas,NA,2021-01-17 01:31:35,-20.3667,14.9667,65.97,65,99,4.94
132,Vostok,RU,2021-01-17 01:31:35,46.4856,135.8833,-3.01,84,68,1.88
133,Luena,AO,2021-01-17 01:31:35,-11.7833,19.9167,62.24,97,100,4.07
134,Lagoa,PT,2021-01-17 01:31:35,39.05,-27.9833,61.16,97,100,18.7
135,Norman Wells,CA,2021-01-17 01:29:26,65.282,-126.8329,-5.8,84,20,4.61
136,Ternate,ID,2021-01-17 01:31:35,0.8,127.4,81.32,77,100,6.67
137,Barentu,ER,2021-01-17 01:31:35,15.1139,37.5928,54.61,87,68,1.48
138,Gombong,ID,2021-01-17 01:31:35,-7.6072,109.5142,64.0,61,94,1.57
139,Asyut,EG,2021-01-17 01:31:35,27.181,31.1837,48.2,76,0,1.43
140,Arlit,NE,2021-01-17 01:31:35,18.7369,7.3853,67.05,21,1,7.47
141,Port Keats,AU,2021-01-17 01:31:35,-14.25,129.55,91.69,58,100,9.95
142,Roma,US,2021-01-17 01:27:05,43.2128,-75.4557,35.6,69,90,14.97
143,Zhanakorgan,KZ,2021-01-17 01:31:35,43.9098,67.2495,30.45,92,0,3.91
144,Chifeng,CN,2021-01-17 01:31:35,42.2683,118.9636,2.61,84,0,10.78
145,Nizwa,OM,2021-01-17 01:31:36,22.9333,57.5333,51.87,67,0,0.45
146,Pokrovsk,UA,2021-01-17 01:31:36,48.282,37.1758,12.96,96,100,3.4
147,Poshekhonye,RU,2021-01-17 01:31:36,58.4993,39.1353,-11.92,89,33,5.73
148,Mecca,SA,2021-01-17 01:31:36,21.4267,39.8261,68.23,74,0,4.79
149,Kodiak,US,2021-01-17 01:31:36,57.79,-152.4072,37.4,93,1,7.34
150,Morant Bay,JM,2021-01-17 01:31:36,17.8815,-76.4093,82.4,74,75,3.44
151,Mlalo,TZ,2021-01-17 01:31:37,-4.9333,38.9333,71.67,93,12,5.86
152,Kahului,US,2021-01-17 01:27:30,20.8947,-156.47,86.0,48,40,9.22
153,Natitingou,BJ,2021-01-17 01:31:37,10.3042,1.3796,71.6,33,0,4.61
154,Midland,US,2021-01-17 01:31:27,31.9974,-102.0779,53.6,32,1,9.22
155,San Luis,AR,2021-01-17 01:31:37,-33.295,-66.3356,60.55,35,0,5.75
156,Richards Bay,ZA,2021-01-17 01:31:37,-28.783,32.0377,70.84,87,22,8.03
157,Bethel,US,2021-01-17 01:31:38,41.3712,-73.414,35.6,69,20,8.05
158,Vrangel,RU,2021-01-17 01:31:38,42.7297,133.0839,9.9,78,1,11.03
159,Rawson,AR,2021-01-17 01:31:38,-43.3002,-65.1023,58.75,59,0,14.83
160,North Bend,US,2021-01-17 01:31:38,43.4065,-124.2243,54.0,87,1,3.44
161,Rio De Jesus,PA,2021-01-17 01:31:38,7.9844,-81.1631,74.98,81,61,1.97
162,Lompoc,US,2021-01-17 01:29:56,34.6391,-120.4579,80.6,19,0,8.05
163,Katherine,AU,2021-01-17 01:31:38,-14.4667,132.2667,89.6,58,40,3.44
164,Taunggyi,MM,2021-01-17 01:31:38,20.7833,97.0333,57.13,62,3,1.43
165,Sideropolis,BR,2021-01-17 01:31:38,-28.5978,-49.4244,74.08,93,100,2.35
166,Mola Di Bari,IT,2021-01-17 01:31:38,41.0609,17.0873,43.0,48,58,4.0
167,Sabha,LY,2021-01-17 01:31:38,27.0377,14.4283,44.64,54,0,6.26
168,Mersing,MY,2021-01-17 01:31:38,2.4312,103.8405,80.6,78,20,10.36
169,Douentza,ML,2021-01-17 01:31:38,14.9951,-2.9517,63.54,23,94,6.49
170,Pangai,TO,2021-01-17 01:31:38,-19.8,-174.35,86.0,84,40,4.61
171,Medea,DZ,2021-01-17 01:31:39,36.2642,2.7539,42.8,93,20,5.75
172,Sitka,US,2021-01-17 01:26:43,57.0531,-135.33,46.4,66,90,24.16
173,Smidovich,RU,2021-01-17 01:31:39,48.6,133.8167,-6.18,88,100,6.4
174,Narsaq,GL,2021-01-17 01:31:39,60.9167,-46.05,19.4,49,75,4.61
175,Bay Roberts,CA,2021-01-17 01:31:39,47.5999,-53.2648,32.0,88,97,1.99
176,Namibe,AO,2021-01-17 01:31:39,-15.1961,12.1522,72.27,74,87,5.01
177,Arraial Do Cabo,BR,2021-01-17 01:31:39,-22.9661,-42.0278,75.61,84,0,27.45
178,Koson,UZ,2021-01-17 01:31:39,39.0375,65.585,35.6,87,0,4.61
179,Dikson,RU,2021-01-17 01:31:39,73.5069,80.5464,-29.69,81,3,10.49
180,Carrefour,HT,2021-01-17 01:31:39,18.5411,-72.3992,77.0,78,100,2.3
