City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
632,Guanica,PR,79.0,overcast clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
633,Nabire,ID,75.79,light rain,-3.3667,135.4833,Hotel Nusantara Nabire
637,Namibe,AO,73.71,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
642,Carutapera,BR,79.57,broken clouds,-1.195,-46.02,Lidera
646,Moron,AR,77.0,clear sky,-34.6534,-58.6198,Hotel Morón
648,Iquique,CL,75.2,clear sky,-20.2208,-70.1431,Backpacker`s Hostel Iquique
650,Tevaitoa,PF,81.48,clear sky,-16.7833,-151.5,Hôtel Raiatea Lodge
655,Ambon,ID,77.0,moderate rain,-3.6954,128.1814,Swiss-Belhotel Ambon
656,Omboue,GA,77.45,light rain,-1.5746,9.2618,Hotel Olako
657,Jardim,BR,75.69,moderate rain,-21.4803,-56.1381,Hotel Estância
658,Ternate,ID,80.19,moderate rain,0.8,127.4,Grand Dafam Bela Ternate
659,Buin,CL,90.0,clear sky,-33.7333,-70.75,Paihuen
660,Coahuayana,MX,80.6,broken clouds,18.7333,-103.6833,Hotel Los Arcos
664,Kisangani,CD,72.7,broken clouds,0.5167,25.2,Grand Ramela Hotel
665,Cabedelo,BR,78.8,clear sky,-6.9811,-34.8339,Hotel Pigalle
668,Ayorou,NE,75.94,overcast clouds,14.7308,0.9174,Hotel Amenokal
673,Kloulklubed,PW,75.2,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
675,Mitsamiouli,KM,81.43,clear sky,-11.3847,43.2844,Foyer ADM
679,Santa Barbara,US,82.4,clear sky,34.7333,-120.0343,Upper Ballard Campground
682,Santa Rosa,PH,77.0,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
683,Comodoro Rivadavia,AR,75.2,clear sky,-45.8667,-67.5,Austral Hotel
687,Saint-Leu,RE,78.8,clear sky,-21.15,55.2833,La Caz Oceane
688,Sambava,MG,77.83,scattered clouds,-14.2667,50.1667,Melrose
691,Elesbao Veloso,BR,80.56,broken clouds,-6.2019,-42.1403,Pousada Paraiso
692,Vanimo,PG,80.08,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
694,Ghanzi,BW,75.94,light rain,-21.5667,21.7833,Ghanzi Farmhouse
695,Sumenep,ID,76.32,moderate rain,-7.0167,113.8667,OYO 3271 Homestay Pandian
